,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
468,1,0,0,1,1500,0,0,0,0,yamaha,yamaha fs1r ,Alvaro Garcia,Sevilla,03/09/2022,02/11/2022,1/11/2022,532,1228
469,0,0,0,1,1450,0,0,0,0,yamaha,yamaha yc 61 ,ciscosenra,Cádiz,24/09/2022,23/11/2022,1/11/2022,396,1066
470,0,0,0,1,495,0,0,0,0,yamaha,yamaha p80 ,César,Asturias,24/02/2019,14/12/2022,1/11/2022,135,626
471,0,0,0,0,400,1,0,0,0,decksaver,komplete kontrol s49 mkii decksaver ,Jam3s,Valladolid,11/10/2022,08/12/2022,1/11/2022,132,446
472,0,0,0,1,12,0,0,0,0,yamaha,"yamaha cp70 pianos para yamaha motif xf, moxf, montage y modx ",bicho,Madrid,13/08/2018,04/11/2022,1/11/2022,3522,517
473,0,1,0,0,0,0,0,0,0,roland,roland fantom 06 ,javpin,Lugo,11/10/2022,09/12/2022,1/11/2022,114,648
474,0,0,0,1,350,0,0,0,0,roland,roland sonic cell impecable - no incluye tarjetas de expansión ,Pablo Bauzá,Alicante,07/01/2022,25/11/2022,1/11/2022,602,1153
475,0,0,0,1,50,0,0,0,0,yamaha,yamaha sy 85 controles pitch y modulación ,SINTEXIA,Córdoba,02/10/2022,01/12/2022,1/11/2022,146,613
476,0,0,0,1,500,0,0,0,0,-,motif-rack xs ,zorruno,Granada,27/08/2022,27/11/2022,1/11/2022,858,799
477,0,0,0,1,490,0,0,0,0,decksaver,moog mother 32 en garantía + decksaver ,Daiv,Barcelona,30/10/2022,29/12/2022,1/11/2022,91,388
478,0,0,1,0,0,0,0,0,0,-,microfreak + dinero por digitone digitakt ,ElmoreFreak,Las Palmas,30/10/2022,18/12/2022,1/11/2022,112,1101
479,0,0,0,1,550,0,0,0,0,korg,korg karma ,bulichan,Alicante,09/06/2021,29/11/2022,1/11/2022,3476,838
480,0,0,0,1,1150,0,0,0,0,decksaver,elektron analog four mk2 black + decksaver + flightcase ,user23,Madrid,13/09/2022,12/11/2022,1/11/2022,336,548
481,0,0,0,1,6000,0,0,0,0,hammond,hammond a100 con leslie 760 ,windbass,Zaragoza,03/11/2020,09/12/2022,1/11/2022,4706,859
482,0,0,0,1,175,0,0,0,0,audio,"antimatter audio ""brain seed"" ",Dinius,Málaga,04/09/2022,09/11/2022,1/11/2022,182,620
483,0,1,0,0,0,0,0,0,0,roland,roland j-6 ,45RPM,Navarra,25/10/2022,28/11/2022,1/11/2022,104,344
484,0,0,0,1,700,0,0,0,0,novation,"novation supernova ll , rack ",ElectroEarth,Barcelona,10/11/2021,16/11/2022,1/11/2022,358,1218
485,0,0,0,1,60,0,0,0,0,casio,casio hz-600 sd synthesizer ,superjx,Barcelona,14/07/2022,27/11/2022,1/11/2022,957,785
