,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen,user_anon
622,0,0,0,1,1250,0,0,0,0,yamaha,piano yamaha cpv-301 ,Barcelona,2 días,29/10/2022,1/9/2022,80,501
623,0,0,0,1,15,0,0,0,0,-,thomann keyboard bag 6 ,Barcelona,21/11/2021,25/09/2022,1/9/2022,968,761
624,0,0,0,1,180,0,0,0,0,korg,secuenciador korg sq64 ,Granada,21 horas,30/10/2022,1/9/2022,154,723
625,0,0,0,1,800,0,0,0,0,kawai,kawai vpc1 ,Sevilla,01/06/2022,14/10/2022,1/9/2022,471,510
626,0,0,0,1,280,0,0,0,0,yamaha,yamaha kx-8 ,Barcelona,25/04/2022,13/09/2022,1/9/2022,1837,474
627,0,0,0,1,145,0,0,0,0,modular,2 buses y fuente para modular la caja sale gratis ,Barcelona,09/02/2019,09/09/2022,1/9/2022,4518,1285
628,0,0,0,1,480,0,0,0,0,electribe,electribe esx-1 sd ,Toledo,2 semanas,18/10/2022,1/9/2022,118,707
629,0,0,0,1,900,0,0,0,0,-,op-1 2021 segunda generación ,Murcia,20/07/2022,18/09/2022,1/9/2022,294,1434
630,1,0,0,1,600,0,0,0,0,hammond,korg cx3 70's hammond ,Madrid,31/07/2022,28/09/2022,1/9/2022,506,886
631,0,0,0,1,25,0,0,0,0,akai,akai lpd 8 ,Badajoz,23/07/2022,21/09/2022,1/9/2022,208,1075
632,0,0,0,1,255,0,0,0,0,instruments,mutable instruments clouds ,Araba,06/08/2021,29/09/2022,1/9/2022,1289,481
633,0,1,0,0,0,0,0,0,0,-,"sintetizadores antiguos averiados, no importa el estado ",Madrid,07/10/2019,18/09/2022,1/9/2022,2424,2019
634,0,0,0,1,840,0,0,0,0,nord lead ,clavia a1 ,Málaga,20/11/2021,23/09/2022,1/9/2022,3723,1108
635,0,0,0,1,349,0,0,0,0,novation,novation drum station v2 ,Girona,01/02/2022,17/10/2022,1/9/2022,874,637
636,0,0,0,1,90,0,0,0,0,doepfer,doepfer a-199 spring reverb vintage edition ,Valencia,29/07/2022,30/09/2022,1/9/2022,334,1073
637,0,0,0,1,225,0,0,0,0,arturia,arturia keylab essential 61 black ,Madrid,17/10/2021,26/09/2022,1/9/2022,1167,779
638,0,0,0,1,165,0,0,0,0,roland,roland t-8 aira compact beat machine ,Alicante,3 semanas,07/10/2022,1/9/2022,336,1096
639,0,0,0,1,700,0,0,0,0,kawai,piano digital kawai ca-91 ,Barcelona,4 días,27/10/2022,1/9/2022,111,1019
640,0,0,0,1,550,0,0,0,0,kawai,piano digital kawai cn25 ,Alicante,3 semanas,13/10/2022,1/9/2022,190,405
641,0,0,0,1,0,0,0,0,0,eurorack,todos mis módulos eurorack ,Málaga,13/11/2021,20/10/2022,1/9/2022,5951,620
642,0,0,0,1,95,0,0,0,0,doepfer,doepfer a-156 vintage edition ,Girona,10/05/2022,25/09/2022,1/9/2022,400,637
643,0,0,0,1,400,0,0,0,0,vermona,vermona drm1 mk2 ,Barcelona,1 día,30/10/2022,1/9/2022,62,537
644,0,0,0,1,1169,0,0,0,0,roland,roland jupiter xm ,Girona,10/05/2022,13/09/2022,1/9/2022,828,637
645,0,0,0,1,245,0,0,0,0,u-he,módulo u-he cvilazation ,Alicante,19/07/2022,18/09/2022,1/9/2022,332,506
646,0,0,0,1,150,0,0,0,0,korg,korg 05r w – módulo sintetizador ,Madrid,29/07/2022,25/09/2022,1/9/2022,396,1261
647,0,1,0,0,0,0,0,0,0,roland,tarjeta roland sr-jv80-15 ,Barcelona,3 semanas,13/10/2022,1/9/2022,84,870
648,0,0,0,1,12,0,0,0,0,yamaha,"phat analog iii para yamaha motif xs, motif xf, moxf, montage y modx ",Madrid,13/01/2020,10/09/2022,1/9/2022,1166,517
649,0,0,0,1,220,0,0,0,0,yamaha,yamaha sy 55 ,Barcelona,14/07/2022,12/09/2022,1/9/2022,413,638
650,0,0,0,1,65,0,0,0,0,doepfer,doepfer a-130-8 ,Asturias,3 semanas,30/10/2022,1/9/2022,166,965
651,0,0,0,1,200,0,0,0,0,roland,roland r8 caja de ritmos ,Girona,08/06/2022,22/09/2022,1/9/2022,594,637
652,0,0,0,1,110,0,0,0,0,behringer,behringer 960 sequential controller ,Cádiz,22/07/2022,01/10/2022,1/9/2022,727,539
653,0,0,0,1,1600,0,0,0,0,origin,arturia origin desktop en perfecto estado ,Lleida,04/08/2021,02/09/2022,1/9/2022,2251,1313
654,0,0,0,1,580,0,0,0,0,virus,acces virus c ,Asturias,11/06/2022,24/09/2022,1/9/2022,1064,975
655,0,1,0,0,0,0,0,0,0,komplete,komplete kontrol s61 mk2 vapor gray ,Sevilla,1 día,30/10/2022,1/9/2022,66,1277
656,0,0,0,1,550,0,0,0,0,roland,roland d50 d-50 sintetizador ,Madrid,2 semanas,30/09/2022,1/9/2022,332,1151
657,0,0,0,1,35,0,0,0,0,-,taburete de tambor acolchado ,Barcelona,20/04/2021,24/09/2022,1/9/2022,699,388
658,1,1,0,0,0,0,0,0,0,korg,korg monopoly ,Baleares,3 semanas,07/10/2022,1/9/2022,194,351
659,0,0,0,1,200,0,0,0,0,yamaha,yamaha cs1x ,A Coruña,17/04/2022,30/09/2022,1/9/2022,765,1091
