,Unnamed: 0,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,user_anon
94,95,0,0,0,1,395,0,0,0,0,-,modulo eurorack synthesis technology e560 deflector shield ,tyrel,Madrid,12/09/2020,27/10/2022,30/8/2022,565,560
95,96,0,0,0,1,100,0,0,0,0,-,toms 000 eurorack ,liradigital MRF,Madrid,22/07/2022,21/09/2022,30/8/2022,324,1419
96,97,0,0,0,1,310,0,0,0,0,-,fairfield circuitry meet maude analog delay ,Morphido,Madrid,19/06/2022,29/09/2022,30/8/2022,436,834
97,98,0,0,0,1,379,0,0,0,0,-,roland mc 101 ,moog1406,Girona,09/06/2021,23/09/2022,30/8/2022,406,637
98,99,0,0,0,1,495,0,0,0,0,-,roland xv 5080 actualizado ,7ºDisminuido,Málaga,05/02/2022,04/10/2022,30/8/2022,1677,1286
99,100,0,0,0,1,600,0,0,0,0,-,clavia nord lead 1 rack - 12 voces ,Victor Lucas,Málaga,24/07/2022,22/09/2022,30/8/2022,723,1167
100,101,0,0,0,1,750,0,0,0,0,-,sintetizador moog subsequent 25 impoluto ,Cristóbal Patrick Ruiz,Valencia,09/08/2022,05/10/2022,30/8/2022,362,2271
101,102,0,0,0,1,300,0,0,0,0,-,sintetizador casio cz-1000 ,valenadell,Barcelona,24/08/2022,23/10/2022,30/8/2022,226,1048
102,103,0,1,0,0,0,0,0,0,0,-,yamaha psr-5700 ,Shad0wfax,Barcelona,29/08/2022,28/10/2022,30/8/2022,60,870
103,104,0,0,0,1,1175,0,0,0,0,-,sintetizador roland spv-355 ,finess7,Huelva,23/08/2022,19/10/2022,30/8/2022,224,703
104,105,0,0,0,1,430,0,0,0,0,-,multi-efectos the dust collector de finegear ,Ivan,Madrid,21/05/2022,17/10/2022,30/8/2022,602,398
105,106,1,0,0,1,260,0,0,0,0,-,o cambió rd 8 mki berhinger ,arkostek,Alicante,11/07/2022,09/09/2022,30/8/2022,422,868
106,107,0,0,0,1,210,0,0,0,0,-,akai eb-16 eb16 fx card 2000 3000 y xl ,Synthaddict,Madrid,29/05/2022,26/09/2022,30/8/2022,265,1151
107,108,0,0,0,1,385,0,0,0,0,-,roland mv30 ,Rodolfo,Barcelona,31/05/2022,13/09/2022,30/8/2022,540,725
